configuration,description,statut,questions,duree_moyenne_s,hit@1,hit@3,hit@5,hit@10,mrr@10,recall@10,delta_hit@1,delta_hit@3,delta_hit@5,delta_hit@10,delta_mrr@10,delta_recall@10
C0_reference,"Configuration actuelle du projet, telle quelle.",ok,148,1.205,0.2095,0.25,0.2703,0.3108,0.2385,0.3108,,,,,,
C1_sans_reranker,Le reranker BGE apporte-t-il un gain mesurable ?,ok,148,0.752,0.1554,0.2162,0.2432,0.2703,0.1918,0.2703,-0.0541,-0.0338,-0.0271,-0.0405,-0.0467,-0.0405
C2_avec_seuil,Le seuil de pertinence filtre-t-il utilement ?,ok,148,1.324,0.1959,0.2297,0.2365,0.2635,0.2174,0.2635,-0.0136,-0.0203,-0.0338,-0.0473,-0.0211,-0.0473
C3_sans_resolution_document,Part du score due au cloisonnement documentaire plutôt qu'à la recherche sémantique.,ok,148,1.134,0.2095,0.25,0.2703,0.3108,0.2385,0.3108,0.0,0.0,0.0,0.0,0.0,0.0
C4_sans_diversification,La limite de passages par document aide-t-elle ou nuit-elle ?,ok,148,1.189,0.2095,0.25,0.2703,0.3108,0.2385,0.3108,0.0,0.0,0.0,0.0,0.0,0.0
C5_dense_seul,Le vecteur sparse de BGE-M3 apporte-t-il quelque chose au dense ?,ok,148,0.813,0.2095,0.2432,0.2568,0.2973,0.2343,0.2973,0.0,-0.0068,-0.0135,-0.0135,-0.0042,-0.0135
C6_sans_voisins,L'expansion par chunks voisins améliore-t-elle la couverture ?,ok,148,1.186,0.2095,0.25,0.2703,0.3108,0.2385,0.3108,0.0,0.0,0.0,0.0,0.0,0.0
